,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2020-11-02 00:00:00 HBI,32,2020-07-16,4,2020-11-02 00:00:00,1,109,HBI,1,0,92,13.53,0,1244.71,15.73,0,1447.26,0.0,-1.45,202.55,16.27,1,l: 5 s: 0,8164.38,0.0,4417.18,12581.57
2020-11-03 00:00:00 GRMN,39,2020-11-03,2,0,0,0,GRMN,1,0,12,109.69,0,1316.28,0.0,0,0.0,-1.32,0.0,0.0,0.0,0,l: 5 s: 0,6846.78,0.0,5733.47,12580.25
2020-11-05 00:00:00 BIIB,40,2020-11-05,4,0,0,0,BIIB,1,0,3,348.0,0,1044.0,0.0,0,0.0,-1.04,0.0,0.0,0.0,0,l: 6 s: 0,5801.74,0.0,6777.47,12579.2
2020-11-06 00:00:00 ALB,41,2020-11-06,5,0,0,0,ALB,1,0,13,104.05,0,1352.6,0.0,0,0.0,-1.35,0.0,0.0,0.0,0,l: 7 s: 0,4447.79,0.0,8130.06,12577.85
2020-11-06 00:00:00 QCOM,42,2020-11-06,5,0,0,0,QCOM,1,0,10,143.29,0,1432.91,0.0,0,0.0,-1.43,0.0,0.0,0.0,0,l: 8 s: 0,3013.45,0.0,9562.97,12576.42
2020-11-09 00:00:00 BIIB,40,2020-11-05,4,2020-11-09 00:00:00,1,4,BIIB,1,0,3,348.0,0,1044.0,230.82,0,692.46,0.0,-0.69,-351.54,-33.67,0,l: 8 s: 0,3705.21,0.0,8518.97,12224.19
2020-11-09 00:00:00 MTD,43,2020-11-09,1,0,0,0,MTD,1,0,1,1182.48,0,1182.48,0.0,0,0.0,-1.18,0.0,0.0,0.0,0,l: 8 s: 0,2521.55,0.0,9701.45,12223.0
2020-11-10 00:00:00 ALK,44,2020-11-10,2,0,0,0,ALK,1,0,27,45.9,0,1239.3,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 9 s: 0,1281.01,0.0,10940.75,12221.77
2020-11-10 00:00:00 AMP,45,2020-11-10,2,0,0,0,AMP,1,0,7,180.29,0,1262.06,0.0,0,0.0,-1.26,0.0,0.0,0.0,0,l: 10 s: 0,17.69,0.0,12202.82,12220.5
2020-12-17 00:00:00 MTD,43,2020-11-09,1,2020-12-17 00:00:00,4,38,MTD,1,0,1,1182.48,0,1182.48,1119.53,0,1119.53,0.0,-1.12,-62.95,-5.32,0,l: 10 s: 0,1136.1,0.0,11020.34,12156.43
