,open,high,low,close,d%change,c%change
2020-08-11,12983.32,13135.81,12712.79,12797.63,-0.89,27.98
2020-08-12,12911.87,13168.78,12786.75,13045.81,1.94,30.46
2020-08-13,12998.63,13145.57,12871.64,13006.11,-0.3,30.06
2020-08-14,12987.63,13167.19,12880.37,13035.94,0.23,30.36
2020-08-17,13091.03,13225.59,12995.49,13091.41,0.43,30.91
2020-08-18,13100.82,13168.81,12913.47,13020.09,-0.54,30.2
2020-08-19,13049.68,13177.81,12951.32,13029.57,0.07,30.3
2020-08-20,12953.31,13131.43,12876.59,13074.81,0.35,30.75
2020-08-21,13077.61,13209.45,12962.67,13112.34,0.29,31.12
2020-08-24,13208.63,13360.97,13054.24,13269.09,1.2,32.69
2020-08-25,13308.83,13447.86,13141.62,13336.66,0.51,33.37
2020-08-26,13337.04,13526.76,13224.83,13397.02,0.45,33.97
2020-08-27,13374.14,13518.13,13120.27,13243.55,-1.15,32.44
2020-08-28,13294.14,13432.42,13144.5,13304.47,0.46,33.04
2020-08-31,13269.51,13510.62,13127.88,13326.08,0.16,33.26
2020-09-01,13341.93,13558.58,13202.04,13450.81,0.94,34.51
2020-09-02,13536.97,13783.24,13363.37,13640.96,1.41,36.41
2020-09-03,13554.69,13644.08,12954.75,13093.16,-4.02,30.93
2020-09-04,13115.82,13266.11,12745.44,13066.29,-0.21,30.66
2020-09-08,12855.08,13018.81,12646.29,12736.06,-2.53,27.36
2020-09-09,12875.11,13054.24,12785.03,12974.6,1.87,29.75
2020-09-10,13020.93,13082.05,12748.31,12791.57,-1.41,27.92
2020-09-11,12871.74,12945.44,12700.38,12808.01,0.13,28.08
2020-09-14,12918.27,13020.79,12790.59,12914.38,0.83,29.14
2020-09-15,12939.35,13077.4,12816.85,12936.81,0.17,29.37
2020-09-16,13051.47,13163.94,12854.2,12937.91,0.01,29.38
2020-09-17,12790.74,12928.21,12698.14,12839.79,-0.76,28.4
2020-09-18,12833.36,12922.92,12624.06,12686.54,-1.19,26.87
2020-09-21,12576.95,12662.56,12444.16,12619.28,-0.53,26.19
2020-09-22,12645.96,12720.74,12549.6,12691.29,0.57,26.91
2020-09-23,12710.5,12803.02,12597.94,12627.33,-0.5,26.27
2020-09-24,12627.46,12734.1,12510.06,12630.43,0.02,26.3
2020-09-25,12593.76,12733.78,12521.28,12703.2,0.58,27.03
2020-09-28,12794.98,12864.58,12725.07,12796.84,0.74,27.97
2020-09-29,12796.22,12899.18,12706.5,12805.48,0.07,28.05
2020-09-30,12811.15,12928.06,12763.2,12840.51,0.27,28.41
2020-10-01,12910.92,13012.09,12844.82,12939.85,0.77,29.4
2020-10-02,12803.85,12980.74,12752.13,12892.53,-0.37,28.93
2020-10-05,12943.89,13085.47,12894.96,13043.48,1.17,30.43
2020-10-06,13073.3,13188.08,12948.11,12981.66,-0.47,29.82
2020-10-07,13086.61,13217.69,13054.0,13130.51,1.15,31.31
2020-10-08,13174.45,13237.51,13094.04,13166.81,0.28,31.67
2020-10-09,13167.76,13255.51,13074.42,13170.05,0.02,31.7
2020-10-12,13196.68,13304.77,13143.91,13235.04,0.49,32.35
2020-10-13,13204.96,13316.49,13156.47,13229.78,-0.04,32.3
2020-10-14,13240.15,13304.05,13127.65,13191.82,-0.29,31.92
2020-10-15,13105.43,13310.25,13066.0,13265.92,0.56,32.66
2020-10-16,13296.96,13354.52,13203.9,13238.18,-0.21,32.38
2020-10-19,13266.66,13342.07,13090.97,13136.7,-0.77,31.37
2020-10-20,13187.37,13326.32,13111.08,13188.15,0.39,31.88
2020-10-21,13196.21,13294.22,13058.91,13099.85,-0.67,31.0
2020-10-22,13132.78,13233.78,13017.45,13113.07,0.1,31.13
2020-10-23,13175.04,13323.17,13074.68,13288.69,1.34,32.89
2020-10-26,13220.96,13306.26,13011.9,13146.01,-1.07,31.46
2020-10-27,13307.41,13393.72,13100.49,13172.04,0.2,31.72
2020-10-28,13012.21,13091.83,12762.84,12807.94,-2.76,28.08
2020-10-29,12814.87,12955.82,12760.09,12891.51,0.65,28.92
2020-10-30,12846.28,12884.74,12642.32,12729.85,-1.25,27.3
2020-11-02,12806.66,12887.7,12728.47,12859.83,1.02,28.6
2020-11-03,12904.3,13013.02,12838.27,12959.48,0.77,29.59
2020-11-04,13054.94,13175.84,12962.81,13073.91,0.88,30.74
2020-11-05,13138.11,13252.93,13009.41,13120.14,0.35,31.2
2020-11-06,13127.47,13352.49,13004.77,13248.74,0.98,32.49
2020-11-09,13134.1,13341.44,12799.0,12875.81,-2.81,28.76
2020-11-10,12808.08,12958.05,12446.26,12689.79,-1.44,26.9
2020-11-11,12806.84,12949.37,12621.48,12778.76,0.7,27.79
2020-11-12,12734.3,12901.76,12503.06,12642.47,-1.07,26.42
2020-11-13,12728.91,12994.46,12631.42,12911.45,2.13,29.11
2020-11-16,13082.89,13301.13,12901.1,13230.42,2.47,32.3
2020-11-17,13144.17,13300.28,12981.34,13194.25,-0.27,31.94
2020-11-18,13230.55,13421.85,13016.61,13034.05,-1.21,30.34
2020-11-19,13000.75,13181.57,12839.91,13086.25,0.4,30.86
2020-11-20,13091.59,13224.87,12937.0,13048.52,-0.29,30.49
2020-11-23,13118.13,13458.72,13048.24,13335.11,2.2,33.35
2020-11-24,13614.29,13885.97,13369.68,13754.74,3.15,37.55
2020-11-25,13707.94,13841.96,13524.52,13695.82,-0.43,36.96
2020-11-27,13751.14,13863.76,13609.4,13712.66,0.12,37.13
2020-11-30,13685.69,13895.27,13461.52,13768.68,0.41,37.69
2020-12-01,13925.42,14168.83,13766.32,13977.51,1.52,39.78
2020-12-02,13920.7,14137.42,13782.04,13991.52,0.1,39.92
2020-12-03,14025.49,14270.21,13878.64,13997.28,0.04,39.97
2020-12-04,14054.07,14412.73,13936.98,14276.47,1.99,42.76
2020-12-07,14286.25,14360.02,14091.98,14217.02,-0.42,42.17
2020-12-08,14160.91,14402.1,14021.23,14278.04,0.43,42.78
2020-12-09,14324.84,14480.52,13975.38,14098.15,-1.26,40.98
2020-12-10,13981.21,14207.51,13853.08,14064.99,-0.24,40.65
2020-12-11,13944.51,14040.8,13653.78,13836.16,-1.63,38.36
2020-12-14,13993.46,14137.48,13678.58,13796.21,-0.29,37.96
2020-12-15,13948.2,14116.08,13783.42,14018.74,1.61,40.19
2020-12-16,14010.31,14164.33,13826.66,13984.55,-0.24,39.85
2020-12-17,14068.47,14154.61,13890.84,14070.45,0.61,40.7
2020-12-18,14033.83,14131.68,13815.4,13942.15,-0.91,39.42
2020-12-21,13746.56,13967.02,13598.43,13892.78,-0.35,38.93
2020-12-22,13928.61,14020.29,13749.01,13911.41,0.13,39.11
2020-12-23,13976.61,14189.9,13880.05,13978.04,0.48,39.78
2020-12-24,14026.95,14081.03,13901.96,14037.11,0.42,40.37
2020-12-28,14145.11,14231.15,13980.5,14010.38,-0.19,40.1
2020-12-29,14065.75,14110.2,13838.57,13934.66,-0.54,39.35
2020-12-30,13973.72,14153.28,13921.6,14041.21,0.76,40.41
2020-12-31,14032.34,14120.66,13936.53,14059.99,0.13,40.6
2021-01-04,14178.36,14365.32,13804.98,13935.92,-0.88,39.36
2021-01-05,13908.72,14320.83,13864.68,14206.53,1.94,42.07
2021-01-06,14213.83,14689.88,14116.72,14510.25,2.14,45.1
2021-01-07,14684.5,14999.41,14556.04,14815.55,2.1,48.16
2021-01-08,14884.22,15018.5,14605.81,14843.23,0.19,48.43
2021-01-11,14666.4,14895.39,14494.18,14725.92,-0.79,47.26
2021-01-12,14750.24,15064.11,14598.1,14909.02,1.24,49.09
2021-01-13,14886.76,15011.57,14637.14,14796.82,-0.75,47.97
2021-01-14,14859.55,15130.63,14736.77,14948.6,1.03,49.49
2021-01-15,14877.41,15055.72,14635.09,14811.82,-0.91,48.12
